Date,Morning Arrival,Morning Departure,Afternoon Arrival,Afternoon Departure,Hours,Minutes
2025-07-01,,,,,0,0
2025-07-02,,,,,0,0
2025-07-03,,,,,0,0
2025-07-04,,,,,0,0
2025-07-05,,,,,0,0
2025-07-06,,,,,0,0
2025-07-07,,,,,0,0
2025-07-08,,,,,0,0
2025-07-09,,,,,0,0
2025-07-10,,,,,0,0
2025-07-11,,,,,0,0
2025-07-12,,,,,0,0
2025-07-13,,,,,0,0
2025-07-14,,,,,0,0
2025-07-15,,,,,0,0
2025-07-16,,,,,0,0
2025-07-17,07:30,12:00,13:00,17:01,8,31
2025-07-18,07:46,12:00,13:00,17:01,0,0
2025-07-19,,,,,0,0
2025-07-20,,,,,0,0
2025-07-21,,,,,0,0
2025-07-22,,,,,0,0
2025-07-23,,,,,0,0
2025-07-24,,,,,0,0
2025-07-25,,,,,0,0
2025-07-26,,,,,0,0
2025-07-27,,,,,0,0
2025-07-28,,,,,0,0
2025-07-29,,,,,0,0
2025-07-30,,,,,0,0
2025-07-31,,,,,0,0
